,addr,score
0,0x0c003e23c789028cec14c804796f6b4f4ffab1e9,0.0
1,0x060d3ce179dff8a688f010dab52c54f30283fc61,0.0
2,0x00003e23c789028cec14c804796f6b4f4ffab1e9,1.0
3,0x000d3ce179dff8a688f010dab52c54f30283fc61,0.9
4,0x00103e23c789028cec14c804796f6b4f4ffab1e9,0.1
5,0x001d3ce179dff8a688f010dab52c54f30283fc61,0.1
6,0x00113e23c789028cec14c804796f6b4f4ffab1e9,0.0
7,0x00103ce179dff8a688f010dab52c54f30283fc61,0.0
8,0x00110e23c789028cec14c804796f6b4f4ffab1e9,0.0
9,0x00100ce179dff8a688f010dab52c54f30283fc61,0.0
10,0x00110023c789028cec14c804796f6b4f4ffab1e9,0.0
11,0x001000e179dff8a688f010dab52c54f30283fc61,0.0
12,0x00110003c789028cec14c804796f6b4f4ffab1e9,0.0
13,0x0010000179dff8a688f010dab52c54f30283fc61,0.30000000000000004
14,0x00110000c789028cec14c804796f6b4f4ffab1e9,0.4
15,0x0010000079dff8a688f010dab52c54f30283fc61,0.1
16,0x001100000789028cec14c804796f6b4f4ffab1e9,0.0
17,0x0010000009dff8a688f010dab52c54f30283fc61,0.0
18,0x001100000089028cec14c804796f6b4f4ffab1e9,0.8
19,0x0010000000dff8a688f010dab52c54f30283fc61,0.0
20,0x001100000009028cec14c804796f6b4f4ffab1e9,0.0
21,0x00100000000ff8a688f010dab52c54f30283fc61,0.0
22,0x001100000000028cec14c804796f6b4f4ffab1e9,0.1
23,0x001000000000f8a688f010dab52c54f30283fc61,0.0
24,0x001100000000128cec14c804796f6b4f4ffab1e9,0.0
25,0x00100000000008a688f010dab52c54f30283fc61,0.0
26,0x001100000000108cec14c804796f6b4f4ffab1e9,0.0
27,0x00100000000000a688f010dab52c54f30283fc61,0.0
28,0x001100000000100cec14c804796f6b4f4ffab1e9,0.2
29,0x001000000000000688f010dab52c54f30283fc61,1.0
30,0x0011000000001000ec14c804796f6b4f4ffab1e9,0.0
31,0x001000000000000088f010dab52c54f30283fc61,0.2
32,0x00110000000010000c14c804796f6b4f4ffab1e9,0.0
33,0x001000000000000008f010dab52c54f30283fc61,0.0
34,0x00110000000010000014c804796f6b4f4ffab1e9,0.0
35,0x001000000000000000f010dab52c54f30283fc61,0.0
36,0x00110000000010000004c804796f6b4f4ffab1e9,0.1
37,0x0010000000000000000010dab52c54f30283fc61,0.9
38,0x00110000000010000000c804796f6b4f4ffab1e9,0.0
39,0x0010000000000000000110dab52c54f30283fc61,0.7000000000000001
40,0x001100000000100000000804796f6b4f4ffab1e9,0.6000000000000001
41,0x0010000000000000000100dab52c54f30283fc61,0.0
42,0x001100000000100000000004796f6b4f4ffab1e9,0.0
43,0x0010000000000000000101dab52c54f30283fc61,0.0
44,0x001100000000100000000014796f6b4f4ffab1e9,0.0
45,0x00100000000000000001010ab52c54f30283fc61,0.0
46,0x001100000000100000000010796f6b4f4ffab1e9,0.1
47,0x001000000000000000010100b52c54f30283fc61,0.0
48,0x001100000000100000000010096f6b4f4ffab1e9,0.0
49,0x001000000000000000010100052c54f30283fc61,0.0
50,0x001100000000100000000010006f6b4f4ffab1e9,0.0
51,0x001000000000000000010100002c54f30283fc61,0.0
52,0x001100000000100000000010000f6b4f4ffab1e9,0.1
53,0x001000000000000000010100000c54f30283fc61,0.0
54,0x00110000000010000000001000006b4f4ffab1e9,0.0
55,0x001000000000000000010100000054f30283fc61,0.0
56,0x00110000000010000000001000000b4f4ffab1e9,0.0
57,0x001000000000000000010100000004f30283fc61,0.0
58,0x0011000000001000000000100000004f4ffab1e9,0.0
59,0x001000000000000000010100000000f30283fc61,0.0
60,0x0011000000001000000000100000000f4ffab1e9,0.0
61,0x001000000000000000010100000000030283fc61,0.0
62,0x001100000000100000000010000000004ffab1e9,0.0
63,0x001000000000000000010100000000000283fc61,0.0
64,0x001100000000100000000010000000000ffab1e9,0.0
65,0x001000000000000000010100000000001283fc61,0.6000000000000001
66,0x0011000000001000000000100000000000fab1e9,0.0
67,0x001000000000000000010100000000001083fc61,0.0
68,0x00110000000010000000001000000000000ab1e9,0.0
69,0x001000000000000000010100000000001003fc61,0.0
70,0x001100000000100000000010000000000000b1e9,0.0
71,0x001000000000000000010100000000001000fc61,0.2
72,0x00110000000010000000001000000000000001e9,0.0
